area_delta,harmful_kept,method,moves_attempted,moves_kept,moves_reverted,repeat,tns_base,tns_final,variant,wns_base,wns_final
21.3,1,agent,13,9,4,0,-12.32,-0.83,p3.6,-0.58,-0.19
22.6,0,agent,14,9,5,1,-12.32,-0.69,p3.6,-0.58,-0.16
22.6,0,agent,14,10,4,2,-12.32,-0.69,p3.6,-0.58,-0.16
5.0,0,agent,7,5,2,0,-0.52,0.0,p4.0,-0.18,0.0
5.0,0,agent,4,3,1,1,-0.52,0.0,p4.0,-0.18,0.0
5.0,0,agent,4,3,1,2,-0.52,0.0,p4.0,-0.18,0.0
0.0,0,agent,0,0,0,0,0.0,0.0,p4.4,0.0,0.0
0.0,0,agent,0,0,0,1,0.0,0.0,p4.4,0.0,0.0
0.0,0,agent,0,0,0,2,0.0,0.0,p4.4,0.0,0.0
0.0,0,agent,0,0,0,0,0.0,0.0,p4.8,0.0,0.0
0.0,0,agent,0,0,0,1,0.0,0.0,p4.8,0.0,0.0
0.0,0,agent,0,0,0,2,0.0,0.0,p4.8,0.0,0.0
0.0,0,agent,0,0,0,0,0.0,0.0,p5.2,0.0,0.0
0.0,0,agent,0,0,0,1,0.0,0.0,p5.2,0.0,0.0
0.0,0,agent,0,0,0,2,0.0,0.0,p5.2,0.0,0.0
0.0,0,agent,0,0,0,0,0.0,0.0,p6.0,0.0,0.0
0.0,0,agent,0,0,0,1,0.0,0.0,p6.0,0.0,0.0
0.0,0,agent,0,0,0,2,0.0,0.0,p6.0,0.0,0.0
